hypothesis_code,verdict,scored_at_utc,reasons,train_hypothesis_code,train_question,train_condition,train_target,train_run_at_utc,train_dataset_rows,train_dataset_hash,train_sample_size,train_sample_pct_of_dataset,train_target_mean,train_target_median,train_target_std,train_win_rate,train_baseline_win_rate,train_win_rate_delta_pp,train_z_stat,train_p_value,train_significant_95,test_hypothesis_code,test_question,test_condition,test_target,test_run_at_utc,test_dataset_rows,test_dataset_hash,test_sample_size,test_sample_pct_of_dataset,test_target_mean,test_target_median,test_target_std,test_win_rate,test_baseline_win_rate,test_win_rate_delta_pp,test_z_stat,test_p_value,test_significant_95
HYP_0001,rechazada,2026-08-06T02:55:22.554022+00:00,"Effect size: train=+0.558pp, test=-0.605pp (mínimo exigido: ±2.0pp) | El efecto cambia de dirección entre train y test: no replica out-of-sample. | p-value en test: 0.4256 (informacional<0.05, validada<0.01) | No cumple los criterios mínimos de evidencia.",HYP_0001,¿Los cuerpos grandes presentan continuidad?,BODY_RATIO >= 0.70,ret_4,2026-08-06T02:55:22.540792+00:00,21888,59185c9e42e1ade2,6373,29.1164,8.7876849935312e-05,5.883297689801559e-05,0.0037814873859721592,0.5110622940530363,0.5054824561403509,0.558,0.7841015023045675,0.432980553990407,False,HYP_0001,¿Los cuerpos grandes presentan continuidad?,BODY_RATIO >= 0.70,ret_4,2026-08-06T02:55:22.547304+00:00,21888,140f6d50b8629c16,5397,24.6573,-0.00016795968118049124,-4.47538204544351e-05,0.005020740595113547,0.4915693904020752,0.49762383476512523,-0.6054,-0.7967550086194506,0.4255933295118275,False
HYP_0002,rechazada,2026-08-07T02:55:31.978076+00:00,"Effect size: train=-1.600pp, test=-0.325pp (mínimo exigido: ±2.0pp) | p-value en test: 0.8035 (informacional<0.05, validada<0.01) | No cumple los criterios mínimos de evidencia.",HYP_0002,¿Los toques de EMA21 en desacuerdo con VWAP de sesión (lados opuestos del precio) tienen mayor tasa de rebote que los toques alineados?,TOUCHES_EMA_21 == True and EMA_VWAP_DISAGREEMENT == True,BOUNCE_SIGNAL_EMA_21,2026-08-07T02:55:31.971961+00:00,21888,59185c9e42e1ade2,1941,8.8679,-0.02833590932509016,-1.0,0.9998560527806095,0.48583204533745494,0.5018363939899833,-1.6004,-1.2255582645370464,0.22036495162234537,False,HYP_0002,¿Los toques de EMA21 en desacuerdo con VWAP de sesión (lados opuestos del precio) tienen mayor tasa de rebote que los toques alineados?,TOUCHES_EMA_21 == True and EMA_VWAP_DISAGREEMENT == True,BOUNCE_SIGNAL_EMA_21,2026-08-07T02:55:31.977346+00:00,21888,140f6d50b8629c16,1904,8.6988,-0.028361344537815126,-1.0,0.9998603390111872,0.48581932773109243,0.4890732174190461,-0.3254,-0.24876730646066428,0.8035407818754376,False
HYP_0003,rechazada,2026-08-07T02:56:33.383651+00:00,"Effect size: train=-4.681pp, test=-1.460pp (mínimo exigido: ±2.0pp) | p-value en test: 0.6035 (informacional<0.05, validada<0.01) | No cumple los criterios mínimos de evidencia.",HYP_0003,"¿Los toques de EMA21 en desacuerdo con VWAP de sesión, DENTRO de la ventana de sesión NY (8:00-12:00 ET), tienen mayor tasa de rebote que los toques alineados en esa misma ventana?",TOUCHES_EMA_21 == True and EMA_VWAP_DISAGREEMENT == True and NY_HOUR >= 8 and NY_HOUR < 12,BOUNCE_SIGNAL_EMA_21,2026-08-07T02:56:33.376787+00:00,21888,59185c9e42e1ade2,378,1.727,-0.08994708994708994,-1.0,0.9972665545116197,0.455026455026455,0.5018363939899833,-4.681,-1.765332941661996,0.07750782627699082,False,HYP_0003,"¿Los toques de EMA21 en desacuerdo con VWAP de sesión, DENTRO de la ventana de sesión NY (8:00-12:00 ET), tienen mayor tasa de rebote que los toques alineados en esa misma ventana?",TOUCHES_EMA_21 == True and EMA_VWAP_DISAGREEMENT == True and NY_HOUR >= 8 and NY_HOUR < 12,BOUNCE_SIGNAL_EMA_21,2026-08-07T02:56:33.382855+00:00,21888,140f6d50b8629c16,333,1.5214,-0.05105105105105105,-1.0,1.0001989743794961,0.4744744744744745,0.4890732174190461,-1.4599,-0.5193344519238425,0.6035275323822256,False
